"nname_within_50","borough","year","avg_train_flow","avg_passenger_flow","num_stations","pop_den_change","pcinc_change","minc_change","traveltime_change","ur_change"
"Astoria-Long Island City","Queens",2020,2925.3333333333335,7210.33333333333,11.0,-0.387896503193678,0.192305607702275,0.19869041382923,0.0397553516819581,-0.301587301587301
"Astoria-Long Island City","Queens",2017,2597.3333333333335,1109628.0,11.0,-0.387896503193678,0.192305607702275,0.19869041382923,0.0397553516819581,-0.301587301587301
"Bedford-Stuyvesant","Brooklyn",2020,2924.6666666666665,253585.0,22.0,0.235255792612985,0.427970670692258,0.389283472223932,0.00844390832328092,-0.421686746987952
"Bedford-Stuyvesant","Brooklyn",2017,2641.3333333333335,999283.0,22.0,0.235255792612985,0.427970670692258,0.389283472223932,0.00844390832328092,-0.421686746987952
"Boerum Hill","Brooklyn",2020,3645.6666666666665,-18551.6666666667,5.0,-0.169782019426248,0.315889268107698,0.286444120073618,-0.0573065902578797,-0.126984126984127
"Boerum Hill","Brooklyn",2017,3220.0,643012.0,5.0,-0.169782019426248,0.315889268107698,0.286444120073618,-0.0573065902578797,-0.126984126984127
"Brownsville","Brooklyn",2020,2193.0,-162846.0,9.0,-0.151035242290749,0.153059254970083,-0.166911524649037,0.0123711340206186,0.240506329113924
"Brownsville","Brooklyn",2017,1182.0,-38462.0,9.0,-0.151035242290749,0.153059254970083,-0.166911524649037,0.0123711340206186,0.240506329113924
"Bushwick","Brooklyn",2020,2611.6,289583.0,19.0,-0.152527817872869,0.298560979107903,0.294660047785845,0.0458488228004957,-0.564971751412429
"Bushwick","Brooklyn",2017,2345.6,990989.6,19.0,-0.152527817872869,0.298560979107903,0.294660047785845,0.0458488228004957,-0.564971751412429
"Carroll Gardens","Brooklyn",2020,2178.5,279537.5,6.0,0.743582363417223,-0.103079489228095,-0.0278533850134169,0.0887573964497042,0.176470588235294
"Carroll Gardens","Brooklyn",2017,1970.5,1073945.5,6.0,0.743582363417223,-0.103079489228095,-0.0278533850134169,0.0887573964497042,0.176470588235294
"Chinatown","Manhattan",2020,13131.0,726106.0,2.0,-0.117733426239299,-0.242829766847653,-0.307613115766716,0.0159235668789809,-0.285714285714286
"Chinatown","Manhattan",2017,11814.0,5078291.0,2.0,-0.117733426239299,-0.242829766847653,-0.307613115766716,0.0159235668789809,-0.285714285714286
"Financial District","Manhattan",2020,4139.333333333333,167834.222222222,18.0,0.0111981225926587,0.161228765219556,0.293022805475697,0.047808764940239,-0.129032258064516
"Financial District","Manhattan",2017,3718.777777777778,1436323.88888889,18.0,0.0111981225926587,0.161228765219556,0.293022805475697,0.047808764940239,-0.129032258064516
"Fort Green","Brooklyn",2020,4825.0,-29905.2,18.0,0.0756976836113527,0.298405524168236,0.212913349024321,0.0307262569832403,-0.26865671641791
"Fort Green","Brooklyn",2017,4335.2,1266933.6,18.0,0.0756976836113527,0.298405524168236,0.212913349024321,0.0307262569832403,-0.26865671641791
"Gravesend-Sheepshead Bay","Brooklyn",2020,3624.6666666666665,199012.333333333,14.0,-0.0993936660653437,0.0809323710640864,0.186872381936075,0.0136789056875444,-0.355742296918768
"Gravesend-Sheepshead Bay","Brooklyn",2017,3249.3333333333335,951507.0,14.0,-0.0993936660653437,0.0809323710640864,0.186872381936075,0.0136789056875444,-0.355742296918768
"Inwood","Manhattan",2020,4342.0,1188063.0,6.0,-0.189214956748209,0.318799173662696,0.357614578678187,0.0260047281323877,-0.580246913580247
"Inwood","Manhattan",2017,3925.0,2846610.0,6.0,-0.189214956748209,0.318799173662696,0.357614578678187,0.0260047281323877,-0.580246913580247
"Jackson Heights","Queens",2020,2193.0,108692.0,5.0,-0.11270977666231,0.198141546841831,0.13637216634139,0.0449999999999999,-0.219512195121951
"Jackson Heights","Queens",2017,1981.0,1180773.0,5.0,-0.11270977666231,0.198141546841831,0.13637216634139,0.0449999999999999,-0.219512195121951
"Jamaica","Queens",2020,2196.0,129177.0,6.0,-0.00909910648413794,0.17201109026241,0.174498727419455,0.00285714285714208,-0.201646090534979
"Jamaica","Queens",2017,1981.0,496778.0,6.0,-0.00909910648413794,0.17201109026241,0.174498727419455,0.00285714285714208,-0.201646090534979
"Lower East Side","Manhattan",2020,4377.4,254828.2,7.0,-0.368563728598605,0.378901933701657,0.396215522771007,-0.00586510263929627,-0.297872340425532
"Lower East Side","Manhattan",2017,3941.2,2176219.8,7.0,-0.368563728598605,0.378901933701657,0.396215522771007,-0.00586510263929627,-0.297872340425532
"Park Slope","Brooklyn",2020,3290.0,100276.0,13.0,-0.22174868262385,0.218726766476668,0.301245374886844,0.0367454068241469,-0.27027027027027
"Park Slope","Brooklyn",2017,2976.5,910198.0,13.0,-0.22174868262385,0.218726766476668,0.301245374886844,0.0367454068241469,-0.27027027027027
"Ridgewood","Queens",2020,2099.0,-68445.0,7.0,0.00250604908399597,0.176688515246509,0.291711479171148,0.0962025316455696,-0.325581395348837
"Ridgewood","Queens",2017,1850.0,16661.0,7.0,0.00250604908399597,0.176688515246509,0.291711479171148,0.0962025316455696,-0.325581395348837
"Soho","Manhattan",2020,4807.2,74811.0,6.0,-0.447078861283084,-0.167136616529329,-0.185303934625693,0.0192307692307692,-0.4
"Soho","Manhattan",2017,4334.4,1413114.4,6.0,-0.447078861283084,-0.167136616529329,-0.185303934625693,0.0192307692307692,-0.4
"Sunny Side","Queens",2020,4392.0,75912.0,12.0,-0.253425860857344,-0.108074347956431,-0.0607914835893958,0.0523415977961434,-0.228571428571429
"Sunny Side","Queens",2017,3968.0,2302182.0,12.0,-0.253425860857344,-0.108074347956431,-0.0607914835893958,0.0523415977961434,-0.228571428571429
"Utopia","Queens",2020,2196.0,51964.0,4.0,0.2173470685489,0.109497312081486,0.0685435887384676,0.0376940133037693,-0.314814814814815
"Utopia","Queens",2017,1981.0,334526.5,4.0,0.2173470685489,0.109497312081486,0.0685435887384676,0.0376940133037693,-0.314814814814815
"Williamsburg","Brooklyn",2020,3273.0,262972.833333333,14.0,0.557116271117335,0.654217033066399,0.65784022453154,0.0696347031963459,-0.0789473684210526
"Williamsburg","Brooklyn",2017,2933.6666666666665,1436313.33333333,14.0,0.557116271117335,0.654217033066399,0.65784022453154,0.0696347031963459,-0.0789473684210526
"Woodhaven-Richmond Hill","Queens",2020,3291.5,726463.0,11.0,-0.482366978682133,0.142580456275477,0.152856659770316,0.0435729847494553,-0.277777777777778
"Woodhaven-Richmond Hill","Queens",2017,2977.0,2631557.5,11.0,-0.482366978682133,0.142580456275477,0.152856659770316,0.0435729847494553,-0.277777777777778
"Woodside","Queens",2020,2192.0,73207.0,5.0,0.0327795121434997,0.169765400574529,0.204797513838982,-0.02088772845953,-0.348837209302326
"Woodside","Queens",2017,1983.0,416340.0,5.0,0.0327795121434997,0.169765400574529,0.204797513838982,-0.02088772845953,-0.348837209302326
